"Hot Spots - Method","Self time [%]","Self time","Invocations"
"SimpleLocking$1.call()","53.661407","4851.595 ms","10"
"java.util.concurrent.locks.LockSupport.park(Object)","40.622433","3672.725 ms","86"
"java.util.concurrent.FutureTask$Sync.innerRun()","1.5622613","141.246 ms","10"
"java.lang.Thread.join(long)","0.90515286","81.836 ms","2"
"SimpleLocking$Node.sum(int)","0.65801543","59.492 ms","1000000"
"java.lang.Thread.interrupt()","0.0059284656","0.536 ms","64"
"java.util.concurrent.locks.LockSupport.unpark(Thread)","0.005486043","0.496 ms","26"
"java.util.concurrent.locks.LockSupport.setBlocker(Thread, Object)","0.0036610488","0.331 ms","172"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int)","0.0020130237","0.182 ms","154"
"java.lang.Thread.start()","0.0017807519","0.161 ms","2"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireQueued(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node, int)","0.0017586307","0.159 ms","21"
"java.util.concurrent.ThreadPoolExecutor.interruptIdleWorkers()","0.0015816615","0.143 ms","10"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await()","0.0015595404","0.141 ms","10"
"java.util.concurrent.ThreadPoolExecutor$Worker.runTask(Runnable)","0.0015152982","0.137 ms","10"
"java.lang.Thread.interrupted()","0.0014821164","0.134 ms","116"
"java.util.concurrent.ThreadPoolExecutor.getTask()","0.0014599953","0.132 ms","10"
"java.util.concurrent.ThreadPoolExecutor$Worker.interruptIfIdle()","0.0012609051","0.114 ms","63"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.parkAndCheckInterrupt()","0.0012277233","0.111 ms","75"
"java.util.concurrent.LinkedBlockingQueue.take()","0.0011502993","0.104 ms","10"
"java.util.concurrent.locks.ReentrantLock$Sync.nonfairTryAcquire(int)","0.0011060571","0.1 ms","134"
"java.util.IdentityHashMap$KeySet.iterator()","0.001083936","0.098 ms","2"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int)","0.0010618147","0.096 ms","123"
"java.util.IdentityHashMap.keySet()","0.0010396936","0.094 ms","1"
"java.util.concurrent.ThreadPoolExecutor$Worker.run()","9.733302E-4","0.088 ms","10"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int)","9.069668E-4","0.082 ms","123"
"java.util.logging.LogManager.reset()","9.069668E-4","0.082 ms","1"
"java.util.concurrent.locks.ReentrantLock.unlock()","8.959062E-4","0.081 ms","113"
"java.util.logging.LogManager.resetLogger(String)","8.848456E-4","0.08 ms","19"
"java.lang.ApplicationShutdownHooks.runHooks()","7.7423995E-4","0.07 ms","1"
"java.util.HashMap$KeyIterator.next()","7.2999764E-4","0.066 ms","63"
"java.util.concurrent.FutureTask$Sync.innerSet(Object)","7.189371E-4","0.065 ms","10"
"java.util.concurrent.locks.ReentrantLock.lock()","7.078765E-4","0.064 ms","40"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.acquire(int)","6.746948E-4","0.061 ms","11"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.addWaiter(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","6.636342E-4","0.06 ms","13"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetWaitStatus(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node, int, int)","6.5257365E-4","0.059 ms","59"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.enq(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","6.415131E-4","0.058 ms","13"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.lock()","6.3045253E-4","0.057 ms","40"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireInterruptibly(int)","6.1939197E-4","0.056 ms","10"
"java.util.HashSet.iterator()","5.862102E-4","0.053 ms","10"
"java.util.concurrent.ThreadPoolExecutor.workerDone(java.util.concurrent.ThreadPoolExecutor.Worker)","5.640891E-4","0.051 ms","10"
"java.util.HashMap$HashIterator.nextEntry()","5.41968E-4","0.049 ms","63"
"java.util.concurrent.locks.ReentrantLock.lockInterruptibly()","5.3090736E-4","0.048 ms","10"
"java.util.HashMap.removeEntryForKey(Object)","5.0878624E-4","0.046 ms","10"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.doReleaseShared()","5.0878624E-4","0.046 ms","10"
"java.lang.Thread.checkAccess()","4.977257E-4","0.045 ms","53"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.doAcquireInterruptibly(int)","4.977257E-4","0.045 ms","2"
"java.util.logging.LogManager.getLogger(String)","4.866651E-4","0.044 ms","19"
"java.lang.Throwable.<init>()","4.534834E-4","0.041 ms","10"
"java.util.logging.LogManager$Cleaner.run()","4.534834E-4","0.041 ms","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.releaseShared(int)","4.424228E-4","0.04 ms","10"
"java.util.concurrent.locks.ReentrantLock.tryLock()","4.3136225E-4","0.039 ms","63"
"java.util.concurrent.ThreadPoolExecutor.tryTerminate()","4.203017E-4","0.038 ms","1"
"java.lang.System.getSecurityManager()","4.092411E-4","0.037 ms","73"
"java.util.logging.Logger.setLevel(java.util.logging.Level)","4.092411E-4","0.037 ms","19"
"java.util.Hashtable.get(Object)","4.092411E-4","0.037 ms","19"
"java.util.Hashtable.<init>(int, float)","3.8711997E-4","0.035 ms","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.addConditionWaiter()","3.7605938E-4","0.034 ms","10"
"java.lang.ClassLoader.loadClass(String, boolean)","3.6499882E-4","0.033 ms","2"
"java.util.concurrent.FutureTask.run()","3.6499882E-4","0.033 ms","10"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.checkInterruptWhileWaiting(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","3.5393826E-4","0.032 ms","11"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.tryAcquire(int)","3.428777E-4","0.031 ms","71"
"java.util.HashMap.remove(Object)","3.318171E-4","0.03 ms","10"
