"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.net.SocketInputStream.read(byte[], int, int)","31.079458","115642.085 ms","923"
"java.util.concurrent.locks.LockSupport.park(Object)","15.172445","56454.433 ms","49"
"java.lang.reflect.Method.invoke(Object, Object[])","9.630574","35833.949 ms","25037"
"clojure.lang.Numbers.add(Object, Object)","3.386504","12600.682 ms","2007778"
"clojure.lang.RestFn.invoke(Object, Object, Object)","2.605458","9694.525 ms","1003889"
"clojure.core$r.invoke(Object, Object, Object)","2.5635095","9538.441 ms","1003889"
"clojure.lang.Numbers$IntegerOps.add(Number, Number)","2.4460144","9101.259 ms","2007778"
"clojure.lang.Var.get()","2.1666043","8061.615 ms","8203328"
"simple_example$test_atom$iter__5699.invoke(Object, Object)","1.5325866","5702.529 ms","10000"
"java.lang.Number.<init>()","1.2142249","4517.952 ms","2015281"
"java.lang.Integer.<init>(int)","1.2033328","4477.424 ms","2006978"
"clojure.lang.Numbers$IntegerOps.opsWith(clojure.lang.Numbers.IntegerOps)","1.1291922","4201.558 ms","2007778"
"clojure.lang.RT.seq(Object)","1.0424906","3878.954 ms","2067775"
"clojure.core$seq.invoke(Object)","1.0080996","3750.99 ms","2067775"
"java.lang.Integer.valueOf(int)","0.990004","3683.659 ms","2008757"
"clojure.lang.Numbers.ops(Object)","0.95642483","3558.716 ms","4015556"
"clojure.lang.Atom.swap(clojure.lang.IFn, Object, Object)","0.8817882","3281.004 ms","999998"
"clojure.lang.Numbers$IntegerOps.combine(clojure.lang.Numbers.Ops)","0.8568082","3188.057 ms","2007778"
"clojure.core$_PLUS_.doInvoke(Object, Object, Object)","0.85574794","3184.112 ms","1003889"
"clojure.core$_PLUS_.invoke(Object, Object)","0.76982033","2864.388 ms","2007778"
"clojure.lang.Obj.<init>()","0.6970139","2593.486 ms","1043889"
"clojure.core$swap_BANG_.invoke(Object, Object, Object, Object)","0.66823363","2486.399 ms","999998"
"clojure.lang.Util.ret1(Object, Object)","0.6461336","2404.168 ms","3011667"
"java.lang.Integer.longValue()","0.63015044","2344.697 ms","4015556"
"java.util.concurrent.atomic.AtomicReference.compareAndSet(Object, Object)","0.58689314","2183.743 ms","1003888"
"clojure.lang.ArraySeq.<init>(Object, int)","0.5355783","1992.808 ms","1003889"
"clojure.lang.ArraySeq.first()","0.49239385","1832.125 ms","1003889"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()","0.4411072","1641.295 ms","4"
"clojure.core$_PLUS_.getRequiredArity()","0.43442866","1616.445 ms","1003889"
"java.util.Arrays.copyOf(char[], int)","0.4285335","1594.51 ms","3510"
"clojure.core$first.invoke(Object)","0.3871688","1440.598 ms","1003889"
"clojure.lang.RT.next(Object)","0.38568014","1435.059 ms","1003889"
"java.util.HashMap.indexFor(int, int)","0.34576967","1286.558 ms","5439"
"clojure.lang.ArraySeq.next()","0.33238995","1236.774 ms","1003889"
"clojure.lang.Atom.deref()","0.32815275","1221.008 ms","1003889"
"clojure.lang.Numbers.unchecked_inc(int)","0.32183403","1197.497 ms","1009995"
"clojure.lang.Numbers.lt(int, int)","0.30895042","1149.559 ms","1060005"
"clojure.lang.RT.first(Object)","0.30017877","1116.921 ms","1003889"
"clojure.core$chunked_seq_QMARK_.invoke(Object)","0.2868676","1067.392 ms","1043889"
"clojure.lang.ARef.validate(Object)","0.27976626","1040.969 ms","1003888"
"java.io.ObjectInputStream$BlockDataInputStream.readBlockHeader(boolean)","0.27946335","1039.842 ms","1754"
"java.util.HashMap.hash(int)","0.27898687","1038.069 ms","5439"
"clojure.core$next.invoke(Object)","0.27193257","1011.821 ms","1003889"
"java.util.concurrent.ConcurrentHashMap.get(Object)","0.27051327","1006.54 ms","26364"
"clojure.lang.ArrayChunk.nth(int)","0.2558091","951.828 ms","999998"
"java.io.ObjectInputStream$BlockDataInputStream.peek()","0.24665126","917.753 ms","5999"
"clojure.lang.ArraySeq.create(Object[])","0.24583237","914.706 ms","1003889"
"clojure.lang.ASeq.<init>()","0.22549321","839.027 ms","1043889"
"java.util.TreeMap.rotateLeft(java.util.TreeMap.Entry)","0.196656","731.728 ms","11580"
