"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.util.concurrent.locks.LockSupport.park(Object)","24.18844","19382.324 ms","10"
"java.net.SocketInputStream.read(byte[], int, int)","21.631039","17333.064 ms","198"
"simple_example$test_locking$iter__5712.invoke(Object, Object)","14.780218","11843.466 ms","10000"
"clojure.lang.Numbers.add(Object, Object)","7.621496","6107.145 ms","1000000"
"java.lang.reflect.Method.invoke(Object, Object[])","6.386695","5117.692 ms","4670"
"clojure.lang.Numbers$IntegerOps.add(Number, Number)","4.955416","3970.801 ms","1000000"
"java.lang.Integer.longValue()","3.5020137","2806.182 ms","2000000"
"clojure.lang.Numbers.ops(Object)","3.0372021","2433.726 ms","2000000"
"clojure.lang.ArrayChunk.nth(int)","1.9125521","1532.538 ms","1000000"
"clojure.lang.Numbers.lt(int, int)","1.0501778","841.513 ms","1060010"
"clojure.lang.Numbers$IntegerOps.combine(clojure.lang.Numbers.Ops)","0.94665796","758.562 ms","1000000"
"clojure.lang.Numbers.unchecked_inc(int)","0.893446","715.923 ms","1010000"
"java.io.ObjectInputStream$BlockDataInputStream.refill()","0.83118886","666.036 ms","343"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeByte(int)","0.53963083","432.409 ms","16205"
"clojure.lang.Numbers$IntegerOps.opsWith(clojure.lang.Numbers.IntegerOps)","0.49253142","394.668 ms","1000000"
"java.lang.Thread.getName()","0.48024023","384.819 ms","196"
"java.lang.Integer.valueOf(int)","0.43430266","348.009 ms","1000181"
"java.util.concurrent.FutureTask$Sync.innerRun()","0.18876202","151.256 ms","10"
"clojure.lang.RT.count(Object)","0.14862876","119.097 ms","40000"
"clojure.lang.Var.get()","0.13083653","104.84 ms","180000"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()","0.13023251","104.356 ms","5"
"clojure.lang.ArrayChunk.<init>(Object[], int)","0.12856025","103.016 ms","40000"
"SimpleLocking$Node.sum(int)","0.12053085","96.582 ms","1000000"
"java.io.ObjectOutputStream$BlockDataOutputStream.drain()","0.09395171","75.284 ms","24680"
"clojure.lang.Obj.<init>()","0.092344336","73.996 ms","40000"
"clojure.core$chunk_first.invoke(Object)","0.09112882","73.022 ms","40000"
"java.io.ObjectStreamClass.<init>(Class)","0.08492519","68.051 ms","8"
"clojure.lang.ASeq.<init>()","0.05981865","47.933 ms","40000"
"clojure.lang.PersistentVector.arrayFor(int)","0.05137493","41.167 ms","40000"
"clojure.lang.PersistentVector.tailoff()","0.047153067","37.784 ms","40000"
"clojure.lang.RT.seqFrom(Object)","0.04482686","35.92 ms","20000"
"clojure.lang.RT.intCast(int)","0.04438758","35.568 ms","40000"
"clojure.lang.RT.intCast(Object)","0.041846726","33.532 ms","60020"
"java.util.TreeMap.writeObject(java.io.ObjectOutputStream)","0.037121933","29.746 ms","471"
"clojure.lang.PersistentVector$ChunkedSeq.<init>(clojure.lang.PersistentVector, int, int)","0.03635943","29.135 ms","40000"
"clojure.lang.RT.seq(Object)","0.03537104","28.343 ms","60000"
"clojure.core$seq.invoke(Object)","0.032105118","25.726 ms","60000"
"java.io.ObjectOutputStream.writeSerialData(Object, java.io.ObjectStreamClass)","0.030874627","24.74 ms","2890"
"java.net.SocketOutputStream.socketWrite(byte[], int, int)","0.024411421","19.561 ms","186"
"java.io.ObjectInputStream.defaultReadFields(Object, java.io.ObjectStreamClass)","0.021637198","17.338 ms","107"
"java.io.ObjectOutputStream.writeObject0(Object, boolean)","0.01874941","15.024 ms","10888"
"clojure.lang.PersistentVector$ChunkedSeq.chunkedFirst()","0.017883323","14.33 ms","40000"
"clojure.lang.PersistentVector.chunkedSeq()","0.017681152","14.168 ms","10000"
"clojure.core$chunk_rest.invoke(Object)","0.017617507","14.117 ms","40000"
"java.util.concurrent.locks.LockSupport.unpark(Thread)","0.01711208","13.712 ms","3"
"java.io.ObjectStreamClass.getPrimFieldValues(Object, byte[])","0.015744312","12.616 ms","4357"
"java.util.TreeMap.fixAfterInsertion(java.util.TreeMap.Entry)","0.013656469","10.943 ms","3441"
"simple_example$test_concur$fn__5672$fn__5673.invoke()","0.01197047","9.592 ms","10"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeInt(int)","0.011054464","8.858 ms","9697"
"clojure.lang.PersistentVector$ChunkedSeq.chunkedNext()","0.0107873995","8.644 ms","40000"
"java.io.ObjectOutputStream$ReplaceTable.lookup(Object)","0.010409267","8.341 ms","10888"
"javax.management.ObjectName.readObject(java.io.ObjectInputStream)","0.007874652","6.31 ms","80"
"java.lang.String.compareTo(String)","0.007872156","6.308 ms","25234"
"clojure.lang.PersistentVector$ChunkedSeq.chunkedMore()","0.0069648866","5.581 ms","40000"
"java.lang.String.compareTo(Object)","0.005427395","4.349 ms","25229"
"clojure.lang.ArrayChunk.<init>(Object[], int, int)","0.0053362935","4.276 ms","40000"
"java.io.ObjectStreamClass.lookup(Class, boolean)","0.005298855","4.246 ms","4549"
"java.io.ObjectOutputStream.defaultWriteFields(Object, java.io.ObjectStreamClass)","0.005041774","4.04 ms","4357"
"java.io.ObjectOutputStream$HandleTable.lookup(Object)","0.004807157","3.852 ms","24218"
"java.util.concurrent.ConcurrentHashMap$Segment.get(Object, int)","0.0047185514","3.781 ms","4715"
"java.io.ObjectOutputStream$HandleTable.hash(Object)","0.0046187146","3.701 ms","23847"
"java.io.ObjectOutputStream$BlockDataOutputStream.setBlockDataMode(boolean)","0.0042318455","3.391 ms","24444"
"java.io.ObjectInputStream.readNonProxyDesc(boolean)","0.0038911514","3.118 ms","162"
"java.io.ObjectOutputStream.writeOrdinaryObject(Object, java.io.ObjectStreamClass, boolean)","0.003802546","3.047 ms","2889"
"java.lang.String.equals(Object)","0.0036490464","2.924 ms","35602"
"java.util.TreeMap.parentOf(java.util.TreeMap.Entry)","0.0035991278","2.884 ms","41416"
"java.util.TreeMap.put(Object, Object)","0.0031660844","2.537 ms","3859"
"java.util.TreeMap.getEntry(Object)","0.0030113368","2.413 ms","4155"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeUTF(String, long)","0.0029514346","2.365 ms","1582"
"java.lang.Math.min(int, int)","0.0029314673","2.349 ms","32672"
"clojure.core$chunked_seq_QMARK_.invoke(Object)","0.0028927804","2.318 ms","40000"
"java.io.ObjectStreamClass.processQueue(java.lang.ref.ReferenceQueue, java.util.concurrent.ConcurrentMap)","0.0028179025","2.258 ms","4714"
"clojure.lang.ArrayChunk.count()","0.0028091667","2.251 ms","40000"
"java.io.BufferedOutputStream.write(byte[], int, int)","0.0028091667","2.251 ms","16289"
"java.util.concurrent.ConcurrentHashMap.get(Object)","0.0027916953","2.237 ms","4715"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeBytes(String)","0.0025708056","2.06 ms","1582"
"clojure.lang.PersistentVector.seq()","0.0024896879","1.995 ms","10000"
"java.io.ObjectOutputStream.writeHandle(int)","0.0023336925","1.87 ms","8568"
"java.io.ObjectOutputStream.writeObject(Object)","0.0022001604","1.763 ms","8779"
"java.io.ObjectOutputStream$HandleTable.insert(Object, int)","0.0021315224","1.708 ms","10688"
"java.util.TreeMap$PrivateEntryIterator.nextEntry()","0.0019480716","1.561 ms","7633"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeShort(int)","0.0017771006","1.424 ms","2173"
"java.io.ObjectOutputStream$BlockDataOutputStream.write(byte[], int, int, boolean)","0.0017608771","1.411 ms","4357"
"java.io.BufferedInputStream.read(byte[], int, int)","0.0016335847","1.309 ms","1485"
"java.io.ObjectStreamClass$WeakClassKey.<init>(Class, java.lang.ref.ReferenceQueue)","0.0016073774","1.288 ms","4544"
"java.io.ObjectInputStream$PeekInputStream.read(byte[], int, int)","0.0015699386","1.258 ms","1697"
"java.util.TreeMap.get(Object)","0.0015686906","1.257 ms","4155"
"java.util.HashMap.hash(int)","0.0015661947","1.255 ms","1079"
"java.io.ObjectOutputStream.writeClassDesc(java.io.ObjectStreamClass, boolean)","0.0015374915","1.232 ms","3742"
"java.io.ObjectInputStream$PeekInputStream.peek()","0.0015062924","1.207 ms","1526"
"java.lang.String.charAt(int)","0.0014763413","1.183 ms","14196"
"java.io.ObjectOutputStream$HandleTable.assign(Object)","0.0014451422","1.158 ms","4766"
"java.io.ObjectOutputStream.writeNonProxyDesc(java.io.ObjectStreamClass, boolean)","0.0013552888","1.086 ms","309"
"java.io.ObjectStreamClass.invokeReadObject(Object, java.io.ObjectInputStream)","0.00131161","1.051 ms","79"
"java.lang.Thread.interrupt()","0.0013103621","1.05 ms","39"
"java.lang.String.getChars(int, int, char[], int)","0.0012854028","1.03 ms","4062"
"java.io.ObjectStreamClass$FieldReflector.getPrimFieldValues(Object, byte[])","0.0012679313","1.016 ms","4357"
"java.io.ObjectInputStream.readObject0(boolean)","0.001242972","0.996 ms","608"
"java.util.HashMap.get(Object)","0.0012379802","0.992 ms","816"
"java.io.ObjectOutputStream$BlockDataOutputStream.getUTFLength(String)","0.0012192607","0.977 ms","1582"
"java.util.concurrent.ConcurrentHashMap.hash(int)","0.0012167648","0.975 ms","4757"
"java.io.BufferedInputStream.read1(byte[], int, int)","0.0011830698","0.948 ms","1486"
"java.io.ObjectOutputStream.writeArray(Object, java.io.ObjectStreamClass, boolean)","0.0011581104","0.928 ms","544"
"java.io.ObjectStreamClass.getClassDataLayout0()","0.0011506227","0.922 ms","103"
"java.io.ObjectInputStream$BlockDataInputStream.readUTFBody(long)","0.0011256634","0.902 ms","425"
"java.lang.Thread.setName(String)","0.0010907204","0.874 ms","5"
"java.io.Bits.putInt(byte[], int, int)","0.0010869765","0.871 ms","10007"
"java.lang.ref.WeakReference.<init>(Object, java.lang.ref.ReferenceQueue)","0.0010295702","0.825 ms","4714"
"java.io.ObjectOutputStream.writeString(String, boolean)","0.0010071069","0.807 ms","1023"
"java.io.BufferedInputStream.read()","0.0010046109","0.805 ms","1553"
"java.util.TreeMap.successor(java.util.TreeMap.Entry)","9.5594034E-4","0.766 ms","7633"
"java.io.ObjectStreamClass.writeNonProxy(java.io.ObjectOutputStream)","9.4845257E-4","0.76 ms","309"
"java.util.Arrays.copyOfRange(char[], int, int)","9.472046E-4","0.759 ms","1097"
"java.io.ObjectStreamClass.initNonProxy(java.io.ObjectStreamClass, Class, ClassNotFoundException, java.io.ObjectStreamClass)","9.397168E-4","0.753 ms","162"
"java.util.TreeMap.setColor(java.util.TreeMap.Entry, boolean)","8.885503E-4","0.712 ms","9648"
"java.io.ObjectStreamClass.getObjFieldValues(Object, Object[])","8.835584E-4","0.708 ms","4357"
"java.util.TreeMap$KeyIterator.next()","8.7607064E-4","0.702 ms","3474"
"clojure.lang.PersistentList$EmptyList.seq()","8.735747E-4","0.7 ms","10000"
"javax.management.ObjectName.construct(String)","8.710788E-4","0.698 ms","80"
"java.util.TreeMap$EntryIterator.next()","8.710788E-4","0.698 ms","4159"
"java.io.ObjectStreamClass.checkSerialize()","8.598471E-4","0.689 ms","2889"
"java.util.TreeMap$EntryIterator.next()","8.373838E-4","0.671 ms","4159"
"java.util.TreeMap.leftOf(java.util.TreeMap.Entry)","8.224082E-4","0.659 ms","9992"
"java.util.Collections$UnmodifiableCollection$1.hasNext()","8.049367E-4","0.645 ms","3892"
"java.io.ObjectStreamClass.readNonProxy(java.io.ObjectInputStream)","7.9370505E-4","0.636 ms","162"
"java.util.Arrays.copyOf(char[], int)","7.874652E-4","0.631 ms","836"
"java.io.ObjectStreamClass$WeakClassKey.equals(Object)","7.874652E-4","0.631 ms","4560"
"java.io.ObjectStreamClass$Caches.access$200()","7.849693E-4","0.629 ms","9088"
"java.io.ObjectStreamClass$FieldReflector.getObjFieldValues(Object, Object[])","7.799774E-4","0.625 ms","4357"
"java.util.Collections$UnmodifiableCollection$1.next()","7.7623356E-4","0.622 ms","3474"
"java.io.ObjectInputStream.readObject()","7.699937E-4","0.617 ms","494"
"java.io.ObjectStreamClass.getSerialVersionUID()","7.475304E-4","0.599 ms","589"
"javax.management.ObjectName.setCanonicalName(char[], char[], String[], java.util.Map, int, int)","7.425385E-4","0.595 ms","80"
"java.util.TreeMap$PrivateEntryIterator.hasNext()","7.288109E-4","0.584 ms","8521"
"java.util.TreeMap$Entry.<init>(Object, Object, java.util.TreeMap.Entry)","7.2132313E-4","0.578 ms","3859"
"java.io.ObjectOutputStream$HandleTable.growSpine()","7.001077E-4","0.561 ms","39"
"java.util.concurrent.ConcurrentHashMap$Segment.getFirst(int)","6.988598E-4","0.56 ms","4715"
"java.lang.ref.Reference.<init>(Object, java.lang.ref.ReferenceQueue)","6.9137197E-4","0.554 ms","4792"
"java.lang.String.<init>(char[], int, int)","6.8638014E-4","0.55 ms","1097"
"java.lang.Long.<init>(long)","6.589249E-4","0.528 ms","1574"
"java.lang.ref.SoftReference.get()","6.5767695E-4","0.527 ms","4782"
"java.lang.Class.getName()","6.4519735E-4","0.517 ms","4034"
"java.io.ObjectInputStream$BlockDataInputStream.readUTFSpan(StringBuilder, long)","6.327177E-4","0.507 ms","425"
"java.io.BufferedInputStream.fill()","6.289738E-4","0.504 ms","198"
"java.util.TreeMap.rotateLeft(java.util.TreeMap.Entry)","6.2273396E-4","0.499 ms","2136"
"java.util.concurrent.ConcurrentHashMap.segmentFor(int)","6.115023E-4","0.49 ms","4757"
"java.lang.AbstractStringBuilder.<init>(int)","6.077584E-4","0.487 ms","938"
"java.lang.AbstractStringBuilder.append(String)","5.703195E-4","0.457 ms","757"
"java.lang.StringBuilder.append(char[], int, int)","5.628317E-4","0.451 ms","425"
"java.lang.AbstractStringBuilder.expandCapacity(int)","5.5409595E-4","0.444 ms","622"
"java.io.ObjectOutputStream.defaultWriteObject()","5.4411223E-4","0.436 ms","490"
"java.lang.reflect.Array.newInstance(Class, int)","5.353765E-4","0.429 ms","608"
"java.io.Bits.putLong(byte[], int, long)","5.316326E-4","0.426 ms","1946"
"java.io.ObjectInputStream$BlockDataInputStream.read(byte[], int, int, boolean)","5.228969E-4","0.419 ms","128"
"java.io.ObjectStreamClass.getReflector(java.io.ObjectStreamField[], java.io.ObjectStreamClass)","5.228969E-4","0.419 ms","170"
"java.io.ObjectStreamClass.hasWriteReplaceMethod()","5.1915296E-4","0.416 ms","4364"
"java.io.ObjectStreamClass.invokeWriteObject(Object, java.io.ObjectOutputStream)","5.17905E-4","0.415 ms","489"
"java.io.ObjectInputStream$BlockDataInputStream.read()","5.154091E-4","0.413 ms","1381"
"java.io.ObjectStreamClass.getClassDataLayout()","4.7422628E-4","0.38 ms","2990"
"java.lang.StringBuilder.toString()","4.6923442E-4","0.376 ms","929"
"java.io.BufferedInputStream.getBufIfOpen()","4.6798645E-4","0.375 ms","4719"
"java.io.ObjectStreamClass.getFields(boolean)","4.4427515E-4","0.356 ms","4477"
"java.io.ObjectInputStream$PeekInputStream.readFully(byte[], int, int)","4.417792E-4","0.354 ms","1569"
"java.io.ObjectInputStream$BlockDataInputStream.setBlockDataMode(boolean)","4.4053126E-4","0.353 ms","1883"
"java.io.ObjectStreamClass.hasWriteObjectMethod()","4.3429143E-4","0.348 ms","4355"
"java.io.ObjectInputStream.readSerialData(Object, java.io.ObjectStreamClass)","4.2680366E-4","0.342 ms","97"
"java.lang.StringBuilder.<init>()","4.218118E-4","0.338 ms","929"
"java.io.ObjectInputStream.readOrdinaryObject(boolean)","4.0933216E-4","0.328 ms","97"
"java.io.ObjectInputStream.readArray(boolean)","4.0933216E-4","0.328 ms","56"
"java.io.ObjectInputStream$BlockDataInputStream.readUnsignedShort()","4.0059641E-4","0.321 ms","425"
"java.io.ObjectInputStream$BlockDataInputStream.readShort()","3.9934844E-4","0.32 ms","483"
"java.lang.ref.ReferenceQueue.poll()","3.9934844E-4","0.32 ms","4730"
"java.lang.reflect.Constructor.newInstance(Object[])","3.931086E-4","0.315 ms","107"
"java.lang.String.substring(int, int)","3.906127E-4","0.313 ms","720"
"java.io.ObjectInputStream$BlockDataInputStream.peek()","3.8312492E-4","0.307 ms","1183"
"java.net.PlainSocketImpl.releaseFD()","3.8062898E-4","0.305 ms","391"
"java.util.TreeMap.colorOf(java.util.TreeMap.Entry)","3.768851E-4","0.302 ms","3928"
"java.io.ObjectInputStream$BlockDataInputStream.peekByte()","3.731412E-4","0.299 ms","1183"
"java.lang.Throwable.<init>(String)","3.6690137E-4","0.294 ms","54"
"java.io.ObjectStreamClass.classNamesEqual(String, String)","3.6190954E-4","0.29 ms","162"
"java.io.ObjectStreamClass.checkDefaultSerialize()","3.6066156E-4","0.289 ms","4357"
"java.util.TreeMap.keyIterator()","3.594136E-4","0.288 ms","492"
"java.io.ObjectInputStream$BlockDataInputStream.readInt()","3.556697E-4","0.285 ms","267"
"java.io.ObjectInputStream$BlockDataInputStream.readLong()","3.5442173E-4","0.284 ms","465"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeUTF(String)","3.531738E-4","0.283 ms","559"
"java.io.ObjectInputStream$BlockDataInputStream.readByte()","3.4568598E-4","0.277 ms","1381"
"java.io.ObjectInputStream.readString(boolean)","3.4443804E-4","0.276 ms","227"
"java.io.ObjectStreamClass$FieldReflectorKey.<init>(Class, java.io.ObjectStreamField[], java.lang.ref.ReferenceQueue)","3.3695024E-4","0.27 ms","170"
"java.util.TreeMap$PrivateEntryIterator.<init>(java.util.TreeMap, java.util.TreeMap.Entry)","3.3445432E-4","0.268 ms","963"
"java.io.ObjectInputStream$BlockDataInputStream.readUTF()","3.282145E-4","0.263 ms","425"
"java.util.Hashtable.get(Object)","3.2571857E-4","0.261 ms","215"
"java.io.SerialCallbackContext.<init>(Object, java.io.ObjectStreamClass)","3.2322266E-4","0.259 ms","569"
"java.io.ObjectInputStream.skipCustomData()","3.2072671E-4","0.257 ms","241"
"java.util.HashMap.<init>()","3.182308E-4","0.255 ms","122"
"java.io.ObjectInputStream$BlockDataInputStream.readBlockHeader(boolean)","3.1698283E-4","0.254 ms","343"
"java.lang.StringBuilder.append(String)","3.1199097E-4","0.25 ms","729"
"java.lang.Long.valueOf(long)","3.0824708E-4","0.247 ms","449"
"java.lang.String.hashCode()","3.069991E-4","0.246 ms","1050"
"java.util.TreeMap$EntrySet.iterator()","2.9826336E-4","0.239 ms","471"
"java.util.TreeMap.getFirstEntry()","2.9576744E-4","0.237 ms","963"
"java.lang.AbstractStringBuilder.append(char[], int, int)","2.9451947E-4","0.236 ms","425"
"java.io.ObjectInputStream.defaultReadObject()","2.9451947E-4","0.236 ms","80"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeBlockHeader(int)","2.7954392E-4","0.224 ms","585"
"java.util.AbstractList.<init>()","2.7704798E-4","0.222 ms","602"
"java.util.Collections$UnmodifiableCollection$1.<init>(java.util.Collections.UnmodifiableCollection)","2.733041E-4","0.219 ms","492"
"java.io.ObjectOutputStream.writeNull()","2.7205612E-4","0.218 ms","1421"
"java.io.Bits.putShort(byte[], int, short)","2.7205612E-4","0.218 ms","2176"
"java.io.ObjectInputStream$BlockDataInputStream.read(byte[], int, int)","2.7205612E-4","0.218 ms","101"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int)","2.7080817E-4","0.217 ms","169"
"java.util.AbstractMap.<init>()","2.658163E-4","0.213 ms","751"
"java.io.ObjectOutputStream$HandleTable.growEntries()","2.6082445E-4","0.209 ms","72"
"java.io.Bits.getLong(byte[], int)","2.5957648E-4","0.208 ms","549"
"java.io.ObjectInputStream$PeekInputStream.read()","2.5957648E-4","0.208 ms","1381"
"java.util.concurrent.ThreadPoolExecutor$Worker.runTask(Runnable)","2.4584887E-4","0.197 ms","15"
