"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.util.concurrent.locks.LockSupport.parkNanos(Object, long)","53.995064","1352278.162 ms","52379"
"java.util.concurrent.locks.LockSupport.park(Object)","25.66637","642800.797 ms","14136"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler.run()","10.56046","264481.191 ms","4"
"java.util.concurrent.locks.LockSupport.unpark(Thread)","1.2520777","31357.632 ms","84043"
"simple_example$test_stm$iter__5686.invoke(Object, Object)","0.23980345","6005.752 ms","10000"
"clojure.lang.Numbers.add(Object, Object)","0.19171205","4801.328 ms","2852124"
"clojure.core$r.invoke(Object, Object, Object)","0.17566432","4399.421 ms","1426062"
"clojure.lang.ASeq.<init>()","0.15851691","3969.973 ms","5897305"
"clojure.lang.Var.get()","0.15223883","3812.742 ms","11978843"
"clojure.lang.RestFn.applyTo(clojure.lang.ISeq)","0.1460502","3657.751 ms","1426062"
"java.util.HashMap.getEntry(Object)","0.14354251","3594.947 ms","4263732"
"simple_example$test_stm$iter__5686$fn__5687.invoke()","0.14162919","3547.029 ms","80685"
"clojure.lang.LockingTransaction.doSet(clojure.lang.Ref, Object)","0.12876955","3224.966 ms","1426062"
"clojure.lang.ArraySeq.<init>(Object, int)","0.12827718","3212.635 ms","4283487"
"clojure.lang.RestFn.invoke(Object, Object, Object, Object)","0.1268663","3177.3 ms","1431363"
"java.util.HashMap.put(Object, Object)","0.12443997","3116.534 ms","2780173"
"clojure.lang.Numbers$IntegerOps.add(Number, Number)","0.12424572","3111.669 ms","2852124"
"clojure.lang.ArraySeq.next()","0.11353841","2843.51 ms","5704248"
"clojure.lang.Ref.alter(clojure.lang.IFn, clojure.lang.ISeq)","0.111701995","2797.518 ms","1431363"
"java.util.HashMap.containsKey(Object)","0.09480937","2374.451 ms","4263732"
"clojure.lang.LockingTransaction.run(java.util.concurrent.Callable)","0.09175257","2297.895 ms","10000"
"clojure.lang.Cons.next()","0.08897056","2228.221 ms","2852124"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync.tryAcquireShared(int)","0.0887842","2223.554 ms","1445182"
"clojure.lang.LockingTransaction.doGet(clojure.lang.Ref)","0.08645615","2165.249 ms","1431363"
"java.util.HashMap.indexFor(int, int)","0.080475904","2015.477 ms","7059885"
"java.util.HashMap.hash(int)","0.08004284","2004.631 ms","7056206"
"java.lang.Thread.interrupted()","0.0790865","1980.68 ms","2579458"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync.tryAcquire(int)","0.076785356","1923.049 ms","2425715"
"clojure.core$_PLUS_.doInvoke(Object, Object, Object)","0.07452454","1866.428 ms","1426062"
"clojure.lang.Numbers.ops(Object)","0.07345815","1839.721 ms","5704248"
"clojure.core$seq.invoke(Object)","0.07189553","1800.586 ms","3060086"
"clojure.lang.LockingTransaction.lock(clojure.lang.Ref)","0.06899086","1727.84 ms","1418059"
"java.lang.ThreadLocal$ThreadLocalMap.access$000(ThreadLocal.ThreadLocalMap, ThreadLocal)","0.06809178","1705.323 ms","2481671"
"java.util.HashSet.contains(Object)","0.06805101","1704.302 ms","2836118"
"java.lang.Integer.<init>(int)","0.06593446","1651.294 ms","2855755"
"clojure.lang.RT.boundedLength(clojure.lang.ISeq, int)","0.06429466","1610.226 ms","1426062"
"clojure.lang.Numbers$IntegerOps.combine(clojure.lang.Numbers.Ops)","0.0626469","1568.959 ms","2852124"
"java.util.HashMap.addEntry(int, Object, Object, int)","0.061730616","1546.011 ms","2780172"
"clojure.core$_PLUS_.invoke(Object, Object)","0.059398767","1487.611 ms","2852124"
"clojure.lang.Obj.<init>()","0.05876194","1471.662 ms","5897305"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.tryAcquireNanos(int, long)","0.05767084","1444.336 ms","2418059"
"java.lang.Integer.longValue()","0.056632288","1418.326 ms","5704248"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock.tryLock(long, java.util.concurrent.TimeUnit)","0.056513537","1415.352 ms","2418059"
"clojure.lang.RT.seq(Object)","0.05642362","1413.1 ms","3060086"
"java.lang.Integer.valueOf(int)","0.054767165","1371.615 ms","2856657"
"java.lang.ThreadLocal.get()","0.053436134","1338.28 ms","2481671"
"clojure.lang.Util.ret1(Object, Object)","0.05013221","1255.535 ms","5725452"
"java.util.HashMap$Entry.<init>(int, Object, Object, java.util.HashMap.Entry)","0.049605746","1242.35 ms","2780172"
"clojure.core$_PLUS_.getRequiredArity()","0.045285232","1134.145 ms","4278186"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState(int, int)","0.04440532","1112.108 ms","5352140"
"clojure.lang.ASeq.seq()","0.043160614","1080.935 ms","2852124"
"clojure.lang.Cons.more()","0.042877916","1073.855 ms","2852124"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.releaseShared(int)","0.041659925","1043.351 ms","1521055"
"clojure.core$next.invoke(Object)","0.041282076","1033.888 ms","1426062"
"clojure.lang.ArraySeq.create(Object[])","0.041275647","1033.727 ms","1431363"
"clojure.lang.RT.cons(Object, Object)","0.04123488","1032.706 ms","1426062"
"java.util.concurrent.TimeUnit$3.toNanos(long)","0.03979053","996.533 ms","2463263"
"clojure.lang.RT.first(Object)","0.039013673","977.077 ms","1426062"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync.tryReleaseShared(int)","0.038954176","975.587 ms","1426195"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync.exclusiveCount(int)","0.038709294","969.454 ms","6294789"
"clojure.lang.Cons.<init>(Object, clojure.lang.ISeq)","0.03852686","964.885 ms","1426062"
"java.lang.ThreadLocal.getMap(Thread)","0.038518112","964.666 ms","2485113"
"clojure.lang.LockingTransaction$Info.running()","0.038323898","959.802 ms","4263223"
"java.lang.Number.<init>()","0.03712148","929.688 ms","2970615"
"clojure.core$alter.doInvoke(Object, Object, Object)","0.036759883","920.632 ms","1431363"
"clojure.lang.LockingTransaction.releaseIfEnsured(clojure.lang.Ref)","0.03552416","889.684 ms","1418059"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release(int)","0.035477124","888.506 ms","2417818"
"java.util.TreeMap.containsKey(Object)","0.03534919","885.302 ms","1418059"
"clojure.lang.Numbers.lt(int, int)","0.034705378","869.178 ms","1568650"
"clojure.lang.LockingTransaction.getEx()","0.033914983","849.383 ms","1431363"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync.tryRelease(int)","0.033745047","845.127 ms","2417764"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock.unlock()","0.032800645","821.475 ms","2417764"
"clojure.lang.RT.next(Object)","0.032307044","809.113 ms","1426062"
"java.lang.ThreadLocal$ThreadLocalMap.getEntry(ThreadLocal)","0.03229255","808.75 ms","2481671"
"clojure.lang.LockingTransaction.tryWriteLock(clojure.lang.Ref)","0.032225348","807.067 ms","2418059"
"clojure.lang.ArraySeq.first()","0.030805474","771.507 ms","2852124"
"clojure.core$first.invoke(Object)","0.03072885","769.588 ms","1426062"
"clojure.lang.Numbers$IntegerOps.opsWith(clojure.lang.Numbers.IntegerOps)","0.028861014","722.809 ms","2852124"
"clojure.lang.RT.seqFrom(Object)","0.027789919","695.984 ms","1516763"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.doAcquireSharedNanos(int, long)","0.026903417","673.782 ms","44904"
"clojure.lang.PersistentVector$ChunkedSeq.<init>(clojure.lang.PersistentVector, int, int)","0.025870135","647.904 ms","187756"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync.readerShouldBlock(Thread)","0.024863007","622.681 ms","1437422"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock.unlock()","0.02278247","570.575 ms","1426195"
"java.util.HashSet.add(Object)","0.022019027","551.455 ms","1418059"
"clojure.core$chunked_seq_QMARK_.invoke(Object)","0.02072513","519.05 ms","1543323"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.acquireShared(int)","0.020053085","502.219 ms","1426195"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock.lock()","0.019563036","489.946 ms","1426195"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.doReleaseShared()","0.018758507","469.797 ms","1558054"
"java.util.concurrent.locks.LockSupport.setBlocker(Thread, Object)","0.01794164","449.339 ms","133025"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.apparentlyFirstQueuedIsExclusive()","0.017796298","445.699 ms","1437422"
"java.util.concurrent.TimeUnit.x(long, long, long)","0.015116267","378.579 ms","2463263"
"java.util.TreeMap.getEntry(Object)","0.015019599","376.158 ms","1526762"
"clojure.core$alter.getRequiredArity()","0.014381494","360.177 ms","1431363"
"java.util.HashMap$HashIterator.nextEntry()","0.013921193","348.649 ms","3000017"
"simple_example$test_concur$fn__5672$fn__5673.invoke()","0.013423279","336.179 ms","10"
"java.util.HashMap$EntryIterator.next()","0.013013967","325.928 ms","2000000"
"clojure.lang.LockingTransaction.stop(int)","0.012800547","320.583 ms","125889"
"java.util.HashMap$EntryIterator.next()","0.012162602","304.606 ms","2000000"
"clojure.lang.ArrayChunk.nth(int)","0.011899949","298.028 ms","1431363"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync.writerShouldBlock(Thread)","0.0110710235","277.268 ms","2417926"
"clojure.lang.Numbers.unchecked_inc(int)","0.0110537745","276.836 ms","1370694"
"clojure.lang.Util.ret1(clojure.lang.ISeq, Object)","0.010483149","262.545 ms","1426062"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.setHeadAndPropagate(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node, int)","0.010408043","260.664 ms","56021"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync.sharedCount(int)","0.010327586","258.649 ms","1432323"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.enq(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","0.009866207","247.094 ms","12239"
"java.util.HashMap.clear()","0.009773333","244.768 ms","243461"
"java.util.HashMap$HashIterator.hasNext()","0.009656061","241.831 ms","3112112"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter.tryDecrement()","0.009424593","236.034 ms","1426195"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.tryAcquireSharedNanos(int, long)","0.008928955","223.621 ms","45204"
"clojure.lang.LockingTransaction.blockAndBail(clojure.lang.LockingTransaction.Info)","0.008201489","205.402 ms","45204"
"clojure.lang.RT.count(Object)","0.007956445","199.265 ms","117261"
"java.util.ArrayList.add(Object)","0.007930292","198.61 ms","1002235"
"java.util.ArrayList.clear()","0.0073391832","183.806 ms","242055"
"clojure.lang.LockingTransaction.runInTransaction(java.util.concurrent.Callable)","0.007046025","176.464 ms","10000"
"java.lang.Integer.equals(Object)","0.0069678435","174.506 ms","2784"
"clojure.lang.AFn.call()","0.0067368145","168.72 ms","80695"
"java.util.ArrayList.get(int)","0.006613794","165.639 ms","1000400"
"java.util.HashMap$KeyIterator.next()","0.0061459458","153.922 ms","1000016"
"java.util.HashMap.newKeyIterator()","0.005984673","149.883 ms","90690"
"java.lang.String.compareTo(Object)","0.0058234395","145.845 ms","639541"
"java.lang.Math.min(int, int)","0.005796887","145.18 ms","838320"
"clojure.lang.Ref.histCount()","0.005555117","139.125 ms","1000000"
"java.lang.String.compareTo(String)","0.0052558095","131.629 ms","639541"
"clojure.lang.PersistentVector.arrayFor(int)","0.0049645677","124.335 ms","187756"
"clojure.lang.LockingTransaction$Info.<init>(int, long)","0.0049382146","123.675 ms","80685"
"clojure.lang.RT.intCast(Object)","0.004410154","110.45 ms","278651"
"java.lang.String.<init>(char[], int, int)","0.004333371","108.527 ms","16625"
"java.util.HashSet.iterator()","0.0042743953","107.05 ms","90690"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.<init>()","0.0042591025","106.667 ms","80685"
"java.util.concurrent.ConcurrentHashMap.get(Object)","0.004016854","100.6 ms","116795"
"java.util.concurrent.FutureTask$Sync.innerRun()","0.0039461395","98.829 ms","11"
"java.util.concurrent.atomic.AtomicInteger.<init>(int)","0.0039450214","98.801 ms","80686"
"java.util.Arrays.copyOf(char[], int)","0.0039084465","97.885 ms","14432"
"clojure.lang.PersistentVector.chunkedSeq()","0.0038213616","95.704 ms","80685"
"clojure.lang.ArrayChunk.<init>(Object[], int)","0.0038105408","95.433 ms","117261"
"java.util.concurrent.locks.AbstractOwnableSynchronizer.<init>()","0.003626029","90.812 ms","80685"
"clojure.core$chunk_first.invoke(Object)","0.003626029","90.812 ms","117261"
"java.util.ArrayList.ensureCapacity(int)","0.0035184603","88.118 ms","1002235"
"java.util.concurrent.ConcurrentHashMap$Segment.get(Object, int)","0.0033993123","85.134 ms","116795"
"java.util.HashSet.clear()","0.0033415752","83.688 ms","161370"
"java.util.concurrent.CountDownLatch.<init>(int)","0.0032963755","82.556 ms","80685"
"java.util.HashMap$HashIterator.<init>(java.util.HashMap)","0.0031045966","77.753 ms","112097"
"clojure.lang.PersistentVector$ChunkedSeq.chunkedMore()","0.0030747298","77.005 ms","117261"
"java.lang.String.equals(Object)","0.0030649472","76.76 ms","889250"
"java.util.ArrayList.RangeCheck(int)","0.0029255152","73.268 ms","1000794"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.addWaiter(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","0.0028960477","72.53 ms","63447"
"java.util.Arrays.copyOf(Object[], int, Class)","0.0028684968","71.84 ms","60003"
"java.lang.AbstractStringBuilder.append(String)","0.0027909547","69.898 ms","8505"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.unparkSuccessor(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","0.0025806488","64.631 ms","84050"
"clojure.lang.ARef.validate(clojure.lang.IFn, Object)","0.0024234485","60.694 ms","1000000"
"java.util.concurrent.atomic.AtomicLong.incrementAndGet()","0.0021474196","53.781 ms","90685"
"clojure.lang.PersistentVector.tailoff()","0.0021119628","52.893 ms","187756"
"java.util.HashMap$KeyIterator.<init>(java.util.HashMap)","0.002088205","52.298 ms","90690"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.shouldParkAfterFailedAcquire(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node, java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","0.002044243","51.197 ms","130347"
"java.util.HashMap$KeySet.iterator()","0.00197848","49.55 ms","90690"
"java.util.TreeMap$PrivateEntryIterator.nextEntry()","0.001965623","49.228 ms","212522"
"clojure.core$chunk_rest.invoke(Object)","0.0019442211","48.692 ms","117261"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.setHead(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","0.001807105","45.258 ms","60582"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node.<init>(Thread, java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","0.0017057653","42.72 ms","63447"
"java.util.concurrent.CountDownLatch.countDown()","0.0016893545","42.309 ms","94850"
"java.util.TreeMap$KeyIterator.next()","0.0016723847","41.884 ms","103529"
"java.lang.String.valueOf(char[])","0.0015877353","39.764 ms","4946"
